"height" "length" "weight" "wing.l" "leg.ht" "wing.span" "sp" "age" "strength" "firepwr"
"1" 47.8417512762826 54.8809884209186 52.3819262474189 28.7518510204553 4.50496250600554 51.6499802798545 "black" 258.15186224645 113.181495214234 40.3370710168889
"2" 40.109508758178 64.90847511217 77.0120029543668 36.7015390280651 7.08443552441895 70.6168122010444 "black" 364.005626295693 153.941078045173 6.43268454677162
"3" 45.7469720684458 61.3583603035659 69.1143341666815 37.0052315113071 6.37997018708847 73.7080585340789 "black" 416.911624954082 197.222603987894 -4.02335078260196
"4" 50.4805197368842 62.6287920121104 73.7600766057568 36.2949045333114 3.96057320479304 78.8888376654858 "black" 387.639473134186 231.256883676431 -6.94333585425317
"5" 45.1144552987535 64.4384625228122 75.8625681815522 40.5611680884424 7.37633190304041 82.9765797368512 "black" 498.209693585522 240.340565674446 -16.5310546237515
"6" 47.6733673457056 57.8157655661926 63.3825145633007 30.8528521213091 3.49583665444516 62.1842171031344 "black" 482.260587625206 170.303626878488 -20.8933400969028
"7" 54.1776413936168 50.8628900023177 47.7611868405359 29.269999802791 3.90699710533954 49.5176294653543 "black" 345.722380909137 124.839699195927 42.9313087784868
"8" 53.0211901641451 57.4709755089134 58.7211656357365 32.5581278910518 6.12056424561888 67.9049189033206 "black" 275.996211683378 185.915010698526 49.0793235568528
"9" 53.8196849543601 50.1418591756374 46.4069007711833 25.4566303373221 6.97496660123579 53.4196775620274 "black" 471.232881129254 157.110565668443 -2.94880346328884
"10" 40.3154168173205 58.9264488918707 63.4439243514721 30.4565359838266 7.28402372985147 65.649508425728 "black" 420.962592237629 161.445073226739 -15.6229139779463
"11" 49.0454614779446 68.761214860715 86.4513982346227 41.2801976760827 4.479085291503 81.3925012883999 "black" 415.16167629743 282.343735036472 0.473809287782253
"12" 44.0399059467018 50.6667344225571 46.0378412796492 27.9589522712872 6.06629523518495 52.9745919071652 "black" 275.595275161322 118.289936324076 23.7045034954608
"13" 54.5910772657953 59.9302172614262 65.8037493470344 31.7692854412213 3.48945546033792 56.6778319031762 "black" 460.615970660001 123.770597776897 -14.3868073109687
"14" 51.900623444235 63.6317104613408 73.933581390459 39.6508166173102 3.79716259846464 85.7670175877856 "black" 390.103028388694 237.39942276076 11.0638216378405
"15" 53.7563813326415 60.4966474045068 65.57305753782 38.4405871287612 5.67128581064753 79.0064333868518 "black" 429.527445579879 223.721072282079 -14.5947347177767
"16" 42.4642869469244 51.549498452805 47.3731171416501 34.9793274064544 6.52936141192913 64.6124238731537 "black" 320.995777146891 176.936586290198 5.01570620268344
"17" 54.4752175081521 52.3787490511313 50.7842090754264 33.388710909092 7.06712401658297 64.5189164553907 "black" 388.368969375733 230.469313353281 33.1353406220695
"18" 43.501170205418 56.32954032626 57.2445631764396 34.0223751863822 4.84516333858483 72.7072950944511 "black" 483.370485249907 209.576816685422 -40.7283798253442
"19" 44.2928934411611 58.59414386563 62.2094308063373 36.4692229434081 5.68756689620204 70.4000443262103 "black" 343.653119984083 179.593160605978 20.0140801634518
"20" 42.7613951487001 54.9441228387877 54.0903132799282 35.6571536299713 7.24703141674399 69.2195894364573 "black" 403.754843340721 207.855264828826 -23.3694279970858
"21" 40.2405688806903 61.3721679756418 68.5755640888075 34.3861770532655 6.35589193971828 81.6327306964911 "black" 447.454291454051 254.993542840949 -13.5077853137909
"22" 50.5522147158626 66.5175362722948 80.9804897269683 37.734155636183 4.19422516319901 79.3482924089616 "black" 266.495281888638 223.053555812475 56.5649720168159
"23" 45.5898234259803 53.0349808186293 52.5199631862542 30.1495164008565 3.3125948656816 56.0553567286309 "black" 255.395905056503 122.763635522676 44.8256623052521
"24" 43.0296335753519 55.9218738693744 55.1258143985275 33.662448906518 7.41905494430102 72.1729586789321 "black" 307.178586896043 179.115207360645 29.2974473176306
"25" 45.672691471409 65.1625727722421 76.8925855569201 38.5274757796 7.6747639507521 74.9899891961699 "black" 296.63355066441 196.875646516686 27.0563365374308
"26" 52.1257781202439 52.0107211824507 49.975502083187 35.8868358333334 3.50615465501323 64.6665745093745 "gold" 458.058646239806 295.74678259479 -0.838679378767817
"27" 41.2178203463554 57.7356934221461 62.230117737576 37.4827414314857 5.5194836081937 73.7502812274013 "gold" 385.426103428472 367.853761817615 -7.27908916471253
"28" 52.6365831668954 55.2074179844931 52.5615414455872 28.5185168276221 7.97254150686786 66.4992293204493 "gold" 468.38698029751 305.81487119827 -5.20713772693863
"29" 49.728352651 54.3101418716833 53.6224288728338 37.8503639989204 5.03056874568574 71.5120163588168 "gold" 357.033463427797 315.971882719221 29.3030176864033
"30" 47.0702375180554 52.0260092476383 47.4021487403239 27.0938887633198 3.48894648440182 56.2925500383869 "gold" 275.102257030085 259.081812476379 37.5640403660154
"31" 43.5175364266615 69.102402892895 88.9228616919545 38.57770665577 6.46498828264885 84.0699868648533 "gold" 456.310719891917 392.033405453917 -40.4624667874965
